               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.027772,            0.010314,            0.011053,             0.57645,             0.59893,             0.57355,             0.35322,            0.037735,            0.010716,            0.013277,            0.001783,            0.001783,            0.001783
                  85,            0.027767,            0.010601,            0.010744,             0.59103,             0.59556,             0.57607,             0.35602,             0.03769,            0.010281,            0.013174,            0.001684,            0.001684,            0.001684
                  86,            0.027341,            0.010452,            0.010232,             0.61399,             0.57966,             0.58192,             0.35573,            0.037639,              0.0104,            0.013206,            0.001585,            0.001585,            0.001585
                  87,            0.027264,            0.010174,            0.010287,             0.61148,             0.57865,             0.57693,              0.3521,            0.037514,            0.010353,            0.012991,            0.001486,            0.001486,            0.001486
                  88,             0.02693,            0.010334,            0.009783,             0.60547,             0.61812,              0.5902,             0.36252,            0.037481,            0.010405,            0.012935,            0.001387,            0.001387,            0.001387
                  89,            0.026894,            0.010188,            0.010197,             0.62071,             0.59783,             0.59495,             0.36434,             0.03735,            0.010392,            0.012868,            0.001288,            0.001288,            0.001288
                  90,            0.026914,            0.010408,            0.010213,             0.61136,             0.60696,              0.5985,             0.36535,            0.037159,            0.010385,            0.012747,            0.001189,            0.001189,            0.001189
                  91,            0.026409,            0.010112,           0.0095457,             0.62969,             0.60124,             0.59952,             0.36508,            0.037059,            0.010493,            0.012751,             0.00109,             0.00109,             0.00109
                  92,            0.026567,            0.010005,            0.010388,             0.61805,             0.60202,             0.60351,             0.36974,            0.037018,            0.010519,            0.012695,            0.000991,            0.000991,            0.000991
                  93,            0.026098,            0.010041,           0.0091971,             0.63343,             0.59055,             0.60639,              0.3715,            0.036925,            0.010482,            0.012785,            0.000892,            0.000892,            0.000892
                  94,            0.026192,            0.010153,            0.009385,             0.61559,             0.61468,             0.60779,             0.37242,            0.036703,            0.010736,            0.012609,            0.000793,            0.000793,            0.000793
                  95,            0.025784,            0.010156,           0.0094915,             0.63506,             0.62571,              0.6151,              0.3779,            0.036586,            0.010584,            0.012458,            0.000694,            0.000694,            0.000694
                  96,            0.025906,            0.010051,           0.0090952,             0.64051,              0.6085,             0.61752,             0.38023,            0.036454,            0.010528,            0.012391,            0.000595,            0.000595,            0.000595
                  97,            0.025493,           0.0097633,            0.009053,             0.64401,             0.60988,             0.62024,             0.38494,            0.036296,            0.010536,            0.012483,            0.000496,            0.000496,            0.000496
                  98,            0.025482,           0.0096645,           0.0093305,             0.65682,             0.60195,             0.62393,             0.38488,            0.036204,            0.010497,            0.012459,            0.000397,            0.000397,            0.000397
                  99,            0.025311,           0.0097358,           0.0087147,             0.64735,             0.61718,             0.62571,              0.3851,            0.036149,             0.01042,             0.01241,            0.000298,            0.000298,            0.000298
